epoch,train_loss,val_loss,train_raw_mse,val_raw_mse,lr,seconds
1,2.3265272902790455e-05,1.719942556519527e-05,2.3265272902790455e-05,1.719942556519527e-05,0.0008,3.584486484527588
2,1.9957572949351742e-05,1.6987778144539335e-05,1.9957572949351742e-05,1.6987778144539335e-05,0.0008,0.32820582389831543
3,1.9231718615628777e-05,1.6916734239202924e-05,1.9231718615628777e-05,1.6916734239202924e-05,0.0008,0.3515141010284424
4,1.891089566925075e-05,1.6917293396545575e-05,1.891089566925075e-05,1.6917293396545575e-05,0.0008,0.3447904586791992
5,1.867894367023837e-05,1.6893041829462165e-05,1.867894367023837e-05,1.6893041829462165e-05,0.0008,0.35042285919189453
6,1.851520482887281e-05,1.6869533865246922e-05,1.851520482887281e-05,1.6869533865246922e-05,0.0008,0.397860050201416
7,1.841733384935651e-05,1.6793618560768663e-05,1.841733384935651e-05,1.6793618560768663e-05,0.0008,0.3465564250946045
8,1.8312836800760124e-05,1.682121685007587e-05,1.8312836800760124e-05,1.682121685007587e-05,0.0008,0.37032365798950195
9,1.8250069515488577e-05,1.6777988348621876e-05,1.8250069515488577e-05,1.6777988348621876e-05,0.0008,0.40125370025634766
10,1.815584946598392e-05,1.674939652730245e-05,1.815584946598392e-05,1.674939652730245e-05,0.0008,0.39638495445251465
11,1.8073196333716623e-05,1.675420076935552e-05,1.8073196333716623e-05,1.675420076935552e-05,0.0008,0.38224029541015625
12,1.8043066847894807e-05,1.6711141943233087e-05,1.8043066847894807e-05,1.6711141943233087e-05,0.0008,0.38234877586364746
13,1.798435692762723e-05,1.6691868513589724e-05,1.798435692762723e-05,1.6691868513589724e-05,0.0008,0.38108348846435547
14,1.793412462575361e-05,1.6706832393538207e-05,1.793412462575361e-05,1.6706832393538207e-05,0.0008,0.4141089916229248
15,1.7907657493196894e-05,1.6691945420461705e-05,1.7907657493196894e-05,1.6691945420461705e-05,0.0008,0.4533514976501465
16,1.7863147113530432e-05,1.6678747488185764e-05,1.7863147113530432e-05,1.6678747488185764e-05,0.0008,0.37621092796325684
17,1.7803422197175677e-05,1.666455951635726e-05,1.7803422197175677e-05,1.666455951635726e-05,0.0008,0.373455286026001
18,1.7774890511645936e-05,1.6639695968478917e-05,1.7774890511645936e-05,1.6639695968478917e-05,0.0008,0.3828318119049072
19,1.774245894921478e-05,1.666362026298884e-05,1.774245894921478e-05,1.666362026298884e-05,0.0008,0.3667747974395752
20,1.771431205270346e-05,1.6662230918882415e-05,1.771431205270346e-05,1.6662230918882415e-05,0.0008,0.3747231960296631
21,1.7684841477603186e-05,1.669135977863334e-05,1.7684841477603186e-05,1.669135977863334e-05,0.0008,0.3918790817260742
22,1.768923415511381e-05,1.661233909544535e-05,1.768923415511381e-05,1.661233909544535e-05,0.0008,0.3671596050262451
23,1.7618045094422997e-05,1.668157507083379e-05,1.7618045094422997e-05,1.668157507083379e-05,0.0008,0.36519670486450195
24,1.7610787581361363e-05,1.6641478869132697e-05,1.7610787581361363e-05,1.6641478869132697e-05,0.0008,0.38584232330322266
25,1.756653753545834e-05,1.6613755142316223e-05,1.756653753545834e-05,1.6613755142316223e-05,0.0008,0.36609697341918945
26,1.75210505767609e-05,1.6708776238374414e-05,1.75210505767609e-05,1.6708776238374414e-05,0.0008,0.3792283535003662
27,1.7480818278272637e-05,1.6721045903977937e-05,1.7480818278272637e-05,1.6721045903977937e-05,0.0008,0.37888002395629883
28,1.7446178244426846e-05,1.6668535972712562e-05,1.7446178244426846e-05,1.6668535972712562e-05,0.0008,0.37730908393859863
29,1.7372728034388274e-05,1.6689624171704054e-05,1.7372728034388274e-05,1.6689624171704054e-05,0.0004,0.40320730209350586
30,1.7315317381871865e-05,1.66773527598707e-05,1.7315317381871865e-05,1.66773527598707e-05,0.0004,0.3699827194213867
