epoch,train_loss,train_anchor_exact,train_anchor_within_1,train_local_capture,train_full_raw_mse,val_loss,val_anchor_exact,val_anchor_within_1,val_local_capture,val_full_raw_mse,replay_ai_vs_zero_db,replay_ai_to_h5_gap_db,lr,seconds
1,5.572010498046875,0.08916666666666667,0.25354166666666667,0.5622415542602539,2.777594272629358e-05,4.826645851135254,0.10166666666666667,0.275,0.6036134958267212,2.60258717025863e-05,,,0.0008,4.226860523223877
2,4.884091758728028,0.12541666666666668,0.2939583333333333,0.6004444360733032,2.5627594368415885e-05,4.695384292602539,0.10666666666666667,0.30333333333333334,0.623233437538147,2.4416951127932407e-05,,,0.0008,1.8452465534210205
3,4.707339687347412,0.144375,0.31,0.607509434223175,2.5058874598471448e-05,4.638793277740478,0.1075,0.29333333333333333,0.6319725513458252,2.4144866983988322e-05,,,0.0008,1.9977898597717285
4,4.557847747802734,0.17083333333333334,0.335,0.6036635041236877,2.466101068421267e-05,4.637345085144043,0.1125,0.2891666666666667,0.6223011016845703,2.626091765705496e-05,,,0.0008,2.0861146450042725
5,4.407228889465332,0.20958333333333334,0.35354166666666664,0.6062503457069397,2.415736707916949e-05,4.65570499420166,0.11166666666666666,0.2975,0.629728376865387,2.502958130207844e-05,0.592370173561978,25.824147217119965,0.0008,9.614124298095703
6,4.239529857635498,0.25979166666666664,0.38875,0.6163184642791748,2.317202597623691e-05,4.722332725524902,0.10083333333333333,0.2966666666666667,0.6068026423454285,2.5489523104624822e-05,,,0.0008,2.498623847961426
7,4.056981630325318,0.31979166666666664,0.44416666666666665,0.6273453831672668,2.158314237021841e-05,4.800430374145508,0.105,0.3025,0.6184405088424683,2.509942431061063e-05,,,0.0008,2.0899269580841064
8,3.8737317657470705,0.35541666666666666,0.464375,0.6293586492538452,2.105416206177324e-05,4.894398002624512,0.1,0.29,0.6030198335647583,2.571397300926037e-05,,,0.0008,2.146402597427368
9,3.6758669567108155,0.40979166666666667,0.5208333333333334,0.6427924633026123,1.959431574505288e-05,4.999415626525879,0.1075,0.2925,0.6100096106529236,2.5772332955966705e-05,,,0.0008,2.179821491241455
10,3.515040693283081,0.44583333333333336,0.5502083333333333,0.6546857953071594,1.8878234186558984e-05,5.10985948562622,0.09666666666666666,0.2758333333333333,0.5884252190589905,2.6253918986185453e-05,2.2447531095250763,24.171764281156864,0.0008,9.698268413543701
