epoch,train_loss,train_anchor_exact,train_anchor_within_1,train_local_capture,train_full_raw_mse,val_loss,val_anchor_exact,val_anchor_within_1,val_local_capture,val_full_raw_mse,replay_ai_vs_zero_db,replay_ai_to_h5_gap_db,lr,seconds
1,5.832331619262695,0.08645833333333333,0.245,0.5483511090278625,2.8379730792948976e-05,4.861616706848144,0.0925,0.2708333333333333,0.5954893827438354,2.629839233122766e-05,,,0.0008,4.106020450592041
2,5.078698749542236,0.10854166666666666,0.273125,0.58973628282547,2.6102316041942686e-05,4.713082790374756,0.1075,0.30416666666666664,0.6159120798110962,2.436283728457056e-05,,,0.0008,1.7514643669128418
3,4.874104175567627,0.12375,0.29875,0.5963767766952515,2.5579913199180737e-05,4.655842761993409,0.11416666666666667,0.3075,0.6245514750480652,2.3592664510942996e-05,,,0.0008,2.0699636936187744
4,4.7640425491333005,0.13083333333333333,0.301875,0.6009262800216675,2.508776742615737e-05,4.614938526153565,0.10833333333333334,0.2975,0.6304201483726501,2.4971271413960495e-05,,,0.0008,2.0396671295166016
5,4.64854398727417,0.15208333333333332,0.32166666666666666,0.608547031879425,2.5145254767267033e-05,4.6041217613220216,0.11333333333333333,0.30666666666666664,0.6330865025520325,2.527269592974335e-05,-0.5081525049464664,26.924669895628412,0.0008,10.070942163467407
6,4.556421070098877,0.15979166666666667,0.31854166666666667,0.6065439581871033,2.510240847186651e-05,4.586964855194092,0.11083333333333334,0.3,0.6234362721443176,2.5055777805391698e-05,,,0.0008,2.3811771869659424
7,4.4651533889770505,0.18604166666666666,0.3329166666666667,0.6079963445663452,2.466031401127111e-05,4.584315357208252,0.11166666666666666,0.2991666666666667,0.6263885498046875,2.4660821945872158e-05,,,0.0008,2.2950854301452637
8,4.367171516418457,0.22125,0.3622916666666667,0.6112805008888245,2.408659020147752e-05,4.60757884979248,0.11333333333333333,0.30083333333333334,0.6152049899101257,2.4751873424975202e-05,,,0.0008,2.1724326610565186
9,4.237063398361206,0.2502083333333333,0.3902083333333333,0.6226186156272888,2.3112461349228397e-05,4.654899654388427,0.10916666666666666,0.30416666666666664,0.6185886263847351,2.555229206336662e-05,,,0.0008,2.1389076709747314
10,4.1297993850708,0.27395833333333336,0.405625,0.6286990642547607,2.2738653569831513e-05,4.714468898773194,0.10583333333333333,0.295,0.6113960146903992,2.54468362982152e-05,1.4519233434063823,24.96459404727556,0.0008,9.56855821609497
