epoch,train_anchor_exact,train_loss,train_probe_ai_vs_zero_db,train_q_raw_mse,val_anchor_exact,val_probe_ai_to_h5_gap_db,val_probe_ai_vs_zero_db,val_q_raw_mse
1,0.7175,41.05781005859375,-2.074681576464959,0.00020296232891269027,0.725,27.000659680905716,-1.1814590128465559,0.00021418759191874415
2,0.90375,35.8628433227539,,0.0001668839270132594,0.9175,,,0.00017101000528782606
3,0.935,35.62225112915039,,0.0001525923819281161,0.95,,,0.00015867156704189257
4,0.966875,35.40384078979492,,0.00013093186280457302,0.9675,,,0.00013536329352064057
5,0.969375,35.21813735961914,3.0124219816568485,0.00011848918133182451,0.9725,24.13585334152313,1.6833473265360304,0.00012122379033826292
6,0.969375,35.08110000610352,,0.00011236422113142908,0.9725,,,0.00011376036185538396
7,0.97,34.96342086791992,,0.0001064030546694994,0.9725,,,0.00010912013327470049
8,0.97,34.88414138793945,,0.00010315261257346719,0.9725,,,0.00010788068029796705
9,0.97,34.814854583740235,,0.00010120106278918684,0.9725,,,0.00010514035937376321
10,0.97,34.79491790771485,4.544956567215341,0.0001004333674791269,0.9725,23.53330110348527,2.285899564573892,0.00010636046237777919
11,0.97,34.73315200805664,,9.781908476725221e-05,0.9725,,,0.00010473726055352018
12,0.97,34.69676010131836,,9.908851236104965e-05,0.9725,,,0.00010952897137030959
13,0.97,34.66378189086914,,9.699306479888037e-05,0.9725,,,0.00010788451269036159
14,0.970625,34.63229278564453,,9.143503863015212e-05,0.9725,,,0.00010788995801704004
15,0.97,34.61063232421875,4.552081834481426,9.180001477943734e-05,0.9725,23.076592438370653,2.742608229688512,0.00010678220714908094
