epoch,train_loss,val_loss,train_raw_mse,val_raw_mse,lr,seconds
1,1.5499196815490723,1.1649587631225586,2.2085411474108695e-05,1.7167015321319924e-05,0.0008,3.6546218395233154
2,1.2782651805877685,1.0814137315750123,1.9424733181949705e-05,1.699025589914527e-05,0.0008,0.3713953495025635
3,1.2099154806137085,1.0729940271377563,1.887336249637883e-05,1.6895523367566055e-05,0.0008,0.38906311988830566
4,1.1796383380889892,1.064456925392151,1.8597550370031967e-05,1.6877682937774808e-05,0.0008,0.34543490409851074
5,1.163316102027893,1.0597815895080567,1.8414565711282195e-05,1.687347743427381e-05,0.0008,0.3489546775817871
6,1.1498391771316527,1.0548553705215453,1.8302897005924022e-05,1.67820791102713e-05,0.0008,0.37552857398986816
7,1.1381178092956543,1.0593878793716431,1.8185139560955575e-05,1.6780313235358335e-05,0.0008,0.4127800464630127
8,1.1350560665130616,1.0485665464401246,1.812849524867488e-05,1.6760020662331955e-05,0.0008,0.3747391700744629
9,1.1286276745796204,1.0691419458389282,1.804285202524625e-05,1.6725446403142997e-05,0.0008,0.38527703285217285
10,1.12444819688797,1.0617996406555177,1.8012001455645076e-05,1.6708302719052882e-05,0.0008,0.398418664932251
11,1.1125241541862487,1.038577790260315,1.798310233425582e-05,1.6702127177268266e-05,0.0008,0.3842277526855469
12,1.1116068649291992,1.0321815156936645,1.792839142581215e-05,1.6696372404112482e-05,0.0008,0.38437652587890625
13,1.0990293669700621,1.029420213699341,1.788774952729e-05,1.6665036382619293e-05,0.0008,0.3948190212249756
14,1.0964467573165892,1.045187931060791,1.7851387638074813e-05,1.669480072450824e-05,0.0008,0.422410249710083
15,1.093928952217102,1.032445912361145,1.7837218219938222e-05,1.6658865351928398e-05,0.0008,0.39707469940185547
16,1.0888529777526856,1.025614857673645,1.782250212272629e-05,1.6677440580679104e-05,0.0008,0.4155466556549072
17,1.0806391835212708,1.0238846302032472,1.7787113356462215e-05,1.6638573943055234e-05,0.0008,0.4102909564971924
18,1.0757470774650573,1.0248723030090332,1.7733571330609265e-05,1.6668320677126756e-05,0.0008,0.4747602939605713
19,1.0700448226928712,1.0221843814849854,1.770885173755232e-05,1.664476643782109e-05,0.0008,0.43780016899108887
20,1.0710500478744507,1.0308171796798706,1.7697492003208025e-05,1.6675883889547548e-05,0.0008,0.4268176555633545
21,1.065814037322998,1.0275056600570678,1.7696490031084976e-05,1.6649779136059807e-05,0.0008,0.41048264503479004
22,1.0628884553909301,1.0206040859222412,1.764408814779017e-05,1.6637112785247155e-05,0.0008,0.4244084358215332
23,1.0551792502403259,1.031587462425232,1.7631908194744027e-05,1.6664153154124506e-05,0.0008,0.4021461009979248
24,1.052755823135376,1.027624053955078,1.7602089246793185e-05,1.6689877375029026e-05,0.0004,0.3878657817840576
25,1.0450652742385864,1.0282141065597534,1.7579040577402338e-05,1.6642252667224966e-05,0.0004,0.4036369323730469
26,1.0417508053779603,1.0258174848556518,1.7540696790092623e-05,1.6648089440423066e-05,0.0004,0.42719197273254395
27,1.0388920211791992,1.0281443357467652,1.753097109030932e-05,1.6661395275150426e-05,0.0004,0.4040236473083496
28,1.038038420677185,1.0373313426971436,1.7522294547234198e-05,1.6656481311656534e-05,0.0004,0.40288639068603516
29,1.0363876271247863,1.0354541206359864,1.753625794663094e-05,1.6672425626893528e-05,0.0004,0.3878304958343506
30,1.0333011054992676,1.0372893190383912,1.7512397171230987e-05,1.6665454240865073e-05,0.0004,0.42327141761779785
