epoch,train_loss,train_anchor_exact,train_anchor_within_1,train_local_capture,train_full_raw_mse,val_loss,val_anchor_exact,val_anchor_within_1,val_local_capture,val_full_raw_mse,replay_ai_vs_zero_db,replay_ai_to_h5_gap_db,lr,seconds
1,6854.747626953125,1.0,1.0,0.7564175128936768,0.05748705193400383,632.2016186523438,1.0,1.0,0.7754288911819458,0.006013396456837654,,,0.0008,4.372046709060669
2,2039.348720703125,1.0,1.0,0.7564175724983215,0.01782648265361786,123.85609771728515,1.0,1.0,0.7754288911819458,0.0010255769570358098,,,0.0008,1.809807300567627
3,827.6140234375,1.0,1.0,0.7564175128936768,0.007509320043027401,36.90051223754883,1.0,1.0,0.7754288911819458,0.00030047538573853673,,,0.0008,1.9418184757232666
4,397.2090185546875,1.0,1.0,0.7564175128936768,0.003591029904782772,15.221230354309082,1.0,1.0,0.7754288911819458,0.00010798594827065245,,,0.0008,2.003159523010254
5,218.6390509033203,1.0,1.0,0.7564175724983215,0.001933605526573956,10.958160705566407,1.0,1.0,0.7754288911819458,6.465522426879033e-05,-6.979076634695358,33.3955940253773,0.0008,12.094424724578857
6,135.60474517822266,1.0,1.0,0.7564175128936768,0.001182660460472107,4.542208366394043,1.0,1.0,0.7754288911819458,3.266295010689646e-05,,,0.0008,2.3227946758270264
7,89.9382162475586,1.0,1.0,0.7564175128936768,0.0007687294273637235,3.5028446102142334,1.0,1.0,0.7754288911819458,2.3090223548933865e-05,,,0.0008,2.202179431915283
8,60.906892700195314,1.0,1.0,0.7564175128936768,0.0005046224105171859,2.5858200454711913,1.0,1.0,0.7754288911819458,1.728716291836463e-05,,,0.0004,2.1146914958953857
9,43.921741027832034,1.0,1.0,0.7564175724983215,0.0003588859108276665,1.9693068599700927,1.0,1.0,0.7754288911819458,1.3070690401946195e-05,,,0.0004,2.2147560119628906
10,35.40620239257812,1.0,1.0,0.7564175128936768,0.00028685040888376534,1.8293650770187377,1.0,1.0,0.7754288911819458,1.3544966313929764e-05,1.4544483233686063,24.962069067313337,0.0004,11.942075490951538
11,28.01558151245117,1.0,1.0,0.7564175724983215,0.00022203002299647778,1.7253552293777465,1.0,1.0,0.7754288911819458,1.1146169817948249e-05,,,0.0004,2.292071580886841
12,22.850583953857424,1.0,1.0,0.7564175724983215,0.00017754283908288926,1.625352382659912,1.0,1.0,0.7754288911819458,1.1542331922100857e-05,,,0.0004,2.1804518699645996
13,18.61282470703125,1.0,1.0,0.7564175128936768,0.00014276588626671582,1.7171885919570924,1.0,1.0,0.7754288911819458,1.1192517886229326e-05,,,0.0004,2.1637020111083984
14,15.734334297180176,1.0,1.0,0.7564175724983215,0.00011803393863374367,1.3387944030761718,1.0,1.0,0.7754288911819458,8.929405121307354e-06,,,0.0004,2.112931489944458
15,13.091719932556153,1.0,1.0,0.7564175128936768,9.670946019468829e-05,1.4005534744262695,1.0,1.0,0.7754288911819458,9.510935051366687e-06,2.2712381712235743,24.145279219458367,0.0004,12.019251585006714
16,11.00423282623291,1.0,1.0,0.7564175724983215,8.027131843846291e-05,1.3481107902526857,1.0,1.0,0.7754288911819458,8.97011392225977e-06,,,0.0004,2.3121159076690674
17,9.473856811523438,1.0,1.0,0.7564175724983215,6.762456177966669e-05,1.3013699340820313,1.0,1.0,0.7754288911819458,8.645555535622407e-06,,,0.0004,2.1123898029327393
18,8.120866813659667,1.0,1.0,0.7564175724983215,5.770433199359104e-05,1.204356861114502,1.0,1.0,0.7754288911819458,8.091582058114e-06,,,0.0004,2.1952621936798096
